Date,spx
26/12/2018,2467.7
24/12/2018,2351.1
21/12/2018,2416.62
20/12/2018,2467.42
19/12/2018,2506.96
18/12/2018,2546.16
17/12/2018,2545.94
14/12/2018,2599.95
13/12/2018,2650.54
12/12/2018,2651.07
11/12/2018,2636.78
10/12/2018,2637.72
07/12/2018,2633.08
06/12/2018,2695.95
04/12/2018,2700.06
03/12/2018,2790.37
30/11/2018,2760.17
29/11/2018,2737.76
28/11/2018,2743.79
27/11/2018,2682.17
26/11/2018,2673.45
23/11/2018,2632.56
21/11/2018,2649.93
20/11/2018,2641.89
19/11/2018,2690.73
16/11/2018,2736.27
15/11/2018,2730.2
14/11/2018,2701.58
13/11/2018,2722.18
12/11/2018,2726.22
09/11/2018,2781.01
08/11/2018,2806.83
07/11/2018,2813.89
06/11/2018,2755.45
05/11/2018,2738.31
02/11/2018,2723.06
01/11/2018,2740.37
31/10/2018,2711.74
30/10/2018,2682.63
29/10/2018,2641.25
26/10/2018,2658.69
25/10/2018,2705.57
24/10/2018,2656.1
23/10/2018,2740.69
22/10/2018,2755.88
19/10/2018,2767.78
18/10/2018,2768.78
17/10/2018,2809.21
16/10/2018,2809.92
15/10/2018,2750.79
12/10/2018,2767.13
11/10/2018,2728.37
10/10/2018,2785.68
09/10/2018,2880.34
08/10/2018,2884.43
05/10/2018,2885.57
04/10/2018,2901.61
03/10/2018,2925.51
02/10/2018,2923.43
01/10/2018,2924.59
28/09/2018,2913.98
27/09/2018,2914
26/09/2018,2905.97
25/09/2018,2915.56
24/09/2018,2919.37
21/09/2018,2929.67
20/09/2018,2930.75
19/09/2018,2907.95
18/09/2018,2904.31
17/09/2018,2888.8
14/09/2018,2904.98
13/09/2018,2904.18
12/09/2018,2888.92
11/09/2018,2887.89
10/09/2018,2877.13
07/09/2018,2871.68
06/09/2018,2878.05
05/09/2018,2888.6
04/09/2018,2896.72
31/08/2018,2901.52
30/08/2018,2901.13
29/08/2018,2914.04
28/08/2018,2897.52
27/08/2018,2896.74
24/08/2018,2874.69
23/08/2018,2856.98
22/08/2018,2861.82
21/08/2018,2862.96
20/08/2018,2857.05
17/08/2018,2850.13
16/08/2018,2840.69
15/08/2018,2818.37
14/08/2018,2839.96
13/08/2018,2821.93
10/08/2018,2833.28
09/08/2018,2853.58
08/08/2018,2857.7
07/08/2018,2858.45
06/08/2018,2850.4
03/08/2018,2840.35
02/08/2018,2827.22
01/08/2018,2813.36
31/07/2018,2816.29
30/07/2018,2802.6
27/07/2018,2818.82
26/07/2018,2837.44
25/07/2018,2846.07
24/07/2018,2820.4
23/07/2018,2806.98
20/07/2018,2801.83
19/07/2018,2804.49
18/07/2018,2815.62
17/07/2018,2809.55
16/07/2018,2798.43
13/07/2018,2801.31
12/07/2018,2798.29
11/07/2018,2774.02
10/07/2018,2793.84
09/07/2018,2784.17
06/07/2018,2759.82
05/07/2018,2736.61
03/07/2018,2713.22
02/07/2018,2726.71
29/06/2018,2718.37
28/06/2018,2716.31
27/06/2018,2699.63
26/06/2018,2723.06
25/06/2018,2717.07
22/06/2018,2754.88
21/06/2018,2749.76
20/06/2018,2767.32
19/06/2018,2762.59
18/06/2018,2773.75
15/06/2018,2779.66
14/06/2018,2782.49
13/06/2018,2775.63
12/06/2018,2786.85
11/06/2018,2782
08/06/2018,2779.03
07/06/2018,2770.37
06/06/2018,2772.35
05/06/2018,2748.8
04/06/2018,2746.87
01/06/2018,2734.62
31/05/2018,2705.27
30/05/2018,2724.01
29/05/2018,2689.86
25/05/2018,2721.33
24/05/2018,2727.76
23/05/2018,2733.29
22/05/2018,2724.44
21/05/2018,2733.01
18/05/2018,2712.97
17/05/2018,2720.13
