Date,ftse
13/03/2020,5366.11
12/3/2020,5237.48
11/3/2020,5876.52
10/3/2020,5960.23
9/3/2020,5965.77
6/3/2020,6462.55
5/3/2020,6705.43
4/3/2020,6815.59
3/3/2020,6718.2
2/3/2020,6654.89
28/02/2020,6580.61
27/02/2020,6796.4
26/02/2020,7042.47
25/02/2020,7017.88
24/02/2020,7156.83
21/02/2020,7403.92
20/02/2020,7436.64
19/02/2020,7457.02
18/02/2020,7382.01
17/02/2020,7433.25
14/02/2020,7409.13
13/02/2020,7452.03
12/2/2020,7534.37
11/2/2020,7499.44
10/2/2020,7446.88
7/2/2020,7466.7
6/2/2020,7504.79
5/2/2020,7482.48
4/2/2020,7439.82
3/2/2020,7326.31
31/01/2020,7286.01
30/01/2020,7381.96
29/01/2020,7483.57
28/01/2020,7480.69
27/01/2020,7412.05
24/01/2020,7585.98
23/01/2020,7507.67
22/01/2020,7571.92
21/01/2020,7610.7
20/01/2020,7651.44
17/01/2020,7674.56
16/01/2020,7609.81
15/01/2020,7642.8
14/01/2020,7622.35
13/01/2020,7617.6
10/1/2020,7587.85
9/1/2020,7598.12
8/1/2020,7574.93
7/1/2020,7573.85
6/1/2020,7575.34
3/1/2020,7622.4
2/1/2020,7604.3
31/12/2019,7542.44
30/12/2019,7587.05
27/12/2019,7644.9
24/12/2019,7632.24
23/12/2019,7623.59
20/12/2019,7582.48
19/12/2019,7573.82
18/12/2019,7540.75
17/12/2019,7525.28
16/12/2019,7519.05
13/12/2019,7353.44
12/12/2019,7273.47
11/12/2019,7216.25
10/12/2019,7213.76
9/12/2019,7233.9
6/12/2019,7239.66
5/12/2019,7137.85
4/12/2019,7188.5
3/12/2019,7158.76
2/12/2019,7285.94
29/11/2019,7346.53
28/11/2019,7416.43
27/11/2019,7429.78
26/11/2019,7403.14
25/11/2019,7396.29
22/11/2019,7326.81
21/11/2019,7238.55
20/11/2019,7262.49
19/11/2019,7323.8
18/11/2019,7307.7
15/11/2019,7302.94
14/11/2019,7292.76
13/11/2019,7351.21
12/11/2019,7365.44
11/11/2019,7328.54
8/11/2019,7359.38
7/11/2019,7406.41
6/11/2019,7396.65
5/11/2019,7388.08
4/11/2019,7369.69
1/11/2019,7302.42
31/10/2019,7248.38
30/10/2019,7330.78
29/10/2019,7306.26
28/10/2019,7331.28
25/10/2019,7324.47
24/10/2019,7328.25
23/10/2019,7260.74
22/10/2019,7212.49
21/10/2019,7163.64
18/10/2019,7150.57
17/10/2019,7182.32
16/10/2019,7167.95
15/10/2019,7211.64
14/10/2019,7213.45
11/10/2019,7247.08
10/10/2019,7186.36
9/10/2019,7166.5
8/10/2019,7143.15
7/10/2019,7197.88
4/10/2019,7155.38
3/10/2019,7077.64
2/10/2019,7122.54
1/10/2019,7360.32
30/09/2019,7408.21
27/09/2019,7426.21
26/09/2019,7351.08
25/09/2019,7289.99
24/09/2019,7291.43
23/09/2019,7326.08
20/09/2019,7344.92
19/09/2019,7356.42
18/09/2019,7314.05
17/09/2019,7320.4
16/09/2019,7321.41
13/09/2019,7367.46
12/9/2019,7344.67
11/9/2019,7338.03
10/9/2019,7267.95
9/9/2019,7235.81
6/9/2019,7282.34
5/9/2019,7271.17
4/9/2019,7311.26
3/9/2019,7268.19
2/9/2019,7281.94
30/08/2019,7207.18
29/08/2019,7184.32
28/08/2019,7114.71
27/08/2019,7089.58
23/08/2019,7094.98
22/08/2019,7128.18
21/08/2019,7203.97
20/08/2019,7125
